SK1,SK2,SB1,SB2,SG1,SY1,SY2,SY3,SO1,SP1,SV1,SR1,SR2,SR3,SW1,Base_A,Base_B,Base_C,UT578_A,UT578_AF,UT578_AS,UT6581,Pred_L,Pred_a,Pred_b,Target_L,Target_a,Target_b,Delta_E
0.0,27.0,0.0,0.0,240.0,36.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,57.59898,-29.999372,10.171632,57.72,-30.04,10.16,0.12818637518517498
0.0,0.0,0.0,715.0,265.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,33.234222,-12.247597,-12.131251,33.22,-12.12,-12.14,0.12868467036137504
0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,26.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,37.83383,23.932764,14.738782,37.73,24.01,14.76,0.1311359523789756
3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,20.0,807.0,0.0,0.0,472.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,53.130836,46.97932,-1.1117541,53.2,47.01,-1.22,0.13206818407501544
0.0,259.0,0.0,0.0,0.0,0.0,360.0,570.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,33.133125,-2.5300376,8.128899,33.23,-2.54,8.22,0.13335447653247492
0.0,48.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,221.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,40.45233,16.228523,21.350239,40.54,16.13,21.33,0.1334248816456144
0.0,0.0,0.0,0.0,233.0,0.0,77.0,0.0,0.0,0.0,482.0,0.0,0.0,0.0,200.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,37.89939,-5.5953135,-11.601747,37.82,-5.64,-11.7,0.13399095528732152
0.0,55.0,0.0,0.0,840.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,42.870884,-30.112104,2.174617,42.81,-30.08,2.29,0.13435316349780635
0.0,57.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,221.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,39.893238,15.066489,20.286526,39.78,15.0,20.25,0.13630042177007595
0.0,529.0,0.0,0.0,76.0,95.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,33.849674,-1.7441435,-2.583155,33.87,-1.8,-2.46,0.1367487506778419
0.0,350.0,0.0,0.0,0.0,0.0,0.0,542.0,0.0,0.0,0.0,0.0,0.0,357.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,31.826593,5.203039,5.4810963,31.88,5.33,5.46,0.13934263548981787
0.0,15.5,0.0,0.0,0.0,60.5,0.0,176.0,0.0,0.0,0.0,275.0,0.0,0.0,440.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,54.540264,25.767927,15.4358635,54.43,25.84,15.39,0.1394852368532599
0.0,347.0,0.0,0.0,0.0,648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,33.406113,4.1002636,5.4363832,33.5,4.11,5.54,0.1401644019046335
0.0,500.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,200.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,31.470314,3.6651652,1.2872396,31.58,3.58,1.32,0.14267925145629343
15.0,0.0,0.0,400.0,45.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,450.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,50.40947,-17.866135,-32.14934,50.49,-17.75,-32.17,0.14282566371893884
0.0,0.0,0.0,380.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,300.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,38.75363,-6.304896,-12.776969,38.68,-6.38,-12.68,0.14305669820999287
0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,539.0,0.0,0.0,688.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,32.00002,22.629633,5.7347035,32.04,22.73,5.83,0.14406052332466035
0.0,0.0,0.0,168.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,56.048985,-40.184597,-11.67784,55.97,-40.23,-11.79,0.144498442821877
0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,416.0,465.0,0.0,41.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,39.328136,39.415062,12.494627,39.21,39.37,12.57,0.1472001634397172
0.0,0.0,0.0,0.0,900.0,0.0,33.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,46.62304,-34.76254,8.10686,46.67,-34.62,8.10999999999999,0.15010833382016153
0.0,164.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,328.0,0.0,115.0,0.0,0.0,294.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,37.28025,4.894352,-6.994499,37.14,4.86,-6.95,0.15109749524510624
0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,580.0,0.0,372.0,141.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,39.546158,27.299772,10.068959,39.48,27.22,10.18,0.1518898433032968
0.0,0.0,0.0,517.0,0.0,0.0,7.7,0.0,0.0,0.0,308.0,0.0,0.0,0.0,132.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,37.123066,0.9416089,-35.04633,37.06,0.91,-34.91,0.15349973579177045
0.0,102.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,20.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,30.289083,-0.09714713,-13.7855,30.31,-0.23,-13.86,0.1537455678719872
0.0,15.0,0.0,274.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,55.261417,-25.258333,-16.417025,55.29,-25.39,-16.34,0.15519633105058522
0.0,380.0,0.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,370.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,35.878963,-0.108788274,-0.2359087,35.92,-0.25,-0.29,0.15668636433883693
